probe,drift_all17,drift_concordant,n_concordant
cg27577527,0.0225,0.0239,15
cg24589459,0.0257,0.0278,15
cg07495363,0.0425,0.0437,15
cg18507379,0.0193,0.0203,15
cg25340966,0.0296,0.0287,15
cg05099508,0.0212,0.0203,15
cg23180938,0.035,0.0309,15
cg18617005,0.0161,0.017,15
cg08189989,0.0417,0.0405,15
cg24504927,0.0248,0.0255,15
cg15790037,0.0138,0.0133,15
cg00370229,0.0256,0.0231,15
cg16439198,0.0193,0.0183,15
cg10109500,0.0198,0.0205,15
cg10812708,0.0219,0.0225,15
cg01075271,0.0295,0.0312,15
cg24851364,0.0371,0.0363,15
cg03749016,0.0161,0.0155,15
cg05639246,0.0329,0.0345,15
cg11475550,0.034,0.0354,15
cg10617784,0.0362,0.0351,15
cg18096722,0.0295,0.0297,15
cg20998319,0.0272,0.0295,15
